,RMSE,MAPE,SNR,PCC,ModelName,hoMR,impMR,redMR,cvFold
0,1.0408346563449542,0.10502214753107969,3.3631273704448907,0.6578252206204879,MIST,0.4319075910240456,0.00029390343910034005,0.4316136875849452,0
0,1.1153284045151073,0.11015469559628406,3.294564563993729,0.6179155305603581,mcImpute,0.4319075910240456,0.0007713173182243071,0.43113627370582125,0
0,1.2515827872985734,0.11091310375394625,3.0491347506012745,0.5991044740915161,MAGIC,0.4319075910240456,0.00011612770032745145,0.43179146332371815,0
0,1.6813553601629332,0.14566679087313447,2.6165704927760673,0.5193644816284384,spKNN,0.4319075910240456,0.012973327904482817,0.4189342631195628,0
0,2.8431366182892717,0.24399459455652403,2.147528206028427,0.27494105651425577,knnSmooth,0.4319075910240456,0.05125102507784857,0.380656565946197,0
0,1.0349884737887323,0.1049726255921556,3.365141755225138,0.6626352417109104,MIST,0.4319075910240456,0.00022795437471684912,0.43167963664932874,1
0,1.1013692841170744,0.10965138516440115,3.3049811289658955,0.6267694462508534,mcImpute,0.4319075910240456,0.0006824294488378628,0.43122516157520774,1
0,1.2352127943727316,0.1111259074830586,3.048367596877355,0.6108274312057967,MAGIC,0.4319075910240456,4.7311285318591326e-05,0.431860279738727,1
0,1.6740836650637834,0.1454711870837212,2.620240762968363,0.5227290932731998,spKNN,0.4319075910240456,0.01281562362008751,0.41909196740395804,1
0,2.849625316092329,0.24419854802158208,2.1451335835097196,0.2728479389430268,knnSmooth,0.4319075910240456,0.05068759067996353,0.38122000034408204,1
0,1.0302291473765004,0.10432363297672222,3.374162846368627,0.6622015849462366,MIST,0.4319075910240456,0.00019641351783778824,0.4317111775062078,2
0,1.1089495274965417,0.10981499266870132,3.3014456266431056,0.6194444743288087,mcImpute,0.4319075910240456,0.0007068019291535007,0.43120078909489207,2
0,1.256225395617582,0.11135557831786079,3.0434950141540136,0.5944073743563592,MAGIC,0.4319075910240456,0.00011612770032745145,0.43179146332371815,2
0,1.6778950536069765,0.14622458286861245,2.6127772907433573,0.5200032442686031,spKNN,0.4319075910240456,0.013043577994804361,0.4188640130292412,2
0,2.8735639520899663,0.24601359444753007,2.1323814358447635,0.2750599293843,knnSmooth,0.4319075910240456,0.05396067141882244,0.37794691960522314,2
0,1.0441657367028445,0.10575420234761419,3.356047530841136,0.6579732110345639,MIST,0.4319075910240456,0.0003111075428525551,0.431596483481193,3
0,1.102799336736008,0.11013186899583809,3.2996166712508703,0.6263530918156487,mcImpute,0.4319075910240456,0.0006953325266520241,0.43121225849739353,3
0,1.2534882737644721,0.11125140381141019,3.045676032974427,0.598535775737094,MAGIC,0.4319075910240456,0.00011612770032745145,0.43179146332371815,3
0,1.671935669660803,0.14554736492282985,2.6198227423115736,0.5210232683420479,spKNN,0.4319075910240456,0.012917414567288118,0.41899017645675746,3
0,2.852144574714047,0.24519044889674327,2.1423885770442648,0.27606230813305715,knnSmooth,0.4319075910240456,0.05148901517975421,0.3804185758442914,3
0,1.0624367069777867,0.10662902143298282,3.345461979093984,0.6438816482994094,MIST,0.4369211535925036,0.0004243678925546374,0.436496785699949,4
0,1.114772422757433,0.11007916088440461,3.297121568554346,0.6156064469217462,mcImpute,0.4369211535925036,0.0007598479157228304,0.4361613056767808,4
0,1.2570247994058112,0.11178443717416542,3.034343632031898,0.5971242833422827,MAGIC,0.4369211535925036,0.00011756137564013603,0.4368035922168635,4
0,1.692741965336995,0.14698410165092837,2.6004751755601054,0.5177038476287116,spKNN,0.4369211535925036,0.013450741783606782,0.42347041180889683,4
0,2.860099991950019,0.24466373314248496,2.138307739868217,0.2745445532323013,knnSmooth,0.4369211535925036,0.05284240467492846,0.38407874891757515,4
