Spot	SampleID	Genotype	Mouse	Group	Region_predict	AT	Level_01	Level_02	Level_03	Region_new	Region_equalsize	Age	WholeBrain	coord_Y	coord_X	img_coord_Y	img_coord_X	slide_id
B02_D1__10_10	B02_D1	WT	B02	WT_03	AT_CNU	CNU				CNU		3	all	10	10	2889.857422	2857.517578	B02_D1
B02_D1__10_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	10	4092.479736	2854.240967	B02_D1
B02_D1__10_15	B02_D1	WT	B02	WT_03	AT_CNU	CNU				CNU		3	all	15	10	4401.529297	2858.385986	B02_D1
B02_D1__10_16	B02_D1	WT	B02	WT_03	AT_CNU	CNU				CNU		3	all	16	10	4710.758301	2859.420166	B02_D1
B02_D1__10_17	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	17	10	5006.457031	2858.532715	B02_D1
B02_D1__10_19	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	19	10	5614.273926	2860.540771	B02_D1
B02_D1__10_20	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	20	10	5930.379883	2864.758789	B02_D1
B02_D1__10_21	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	21	10	6216.094727	2866.340576	B02_D1
B02_D1__10_22	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	22	10	6537.789551	2863.882324	B02_D1
B02_D1__10_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	10	6833.134277	2865.643555	B02_D1
B02_D1__10_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	10	7136.09668	2864.238281	B02_D1
B02_D1__10_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	10	764.7485352	2847.064209	B02_D1
B02_D1__10_4	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	4	10	1064.569336	2847.726074	B02_D1
B02_D1__10_5	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	5	10	1366.536133	2850.932129	B02_D1
B02_D1__10_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	10	1671.127686	2859.213623	B02_D1
B02_D1__10_7	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	7	10	1975.182251	2857.357178	B02_D1
B02_D1__10_8	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	8	10	2278.795166	2846.16748	B02_D1
B02_D1__10_9	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	9	10	2583.472412	2849.913818	B02_D1
B02_D1__11_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	11	4057.486084	3168.065186	B02_D1
B02_D1__11_15	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	15	11	4378.197754	3174.953125	B02_D1
B02_D1__11_16	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	16	11	4694.970703	3168.030518	B02_D1
B02_D1__11_17	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	17	11	4976.004395	3172.220947	B02_D1
B02_D1__11_19	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	19	11	5587.775391	3172.998291	B02_D1
B02_D1__11_2	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	2	11	438.3728638	3150.349365	B02_D1
B02_D1__11_20	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	20	11	5900.923828	3174.136475	B02_D1
B02_D1__11_21	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	21	11	6199.961426	3177.694336	B02_D1
B02_D1__11_22	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	22	11	6500.013184	3175.33667	B02_D1
B02_D1__11_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	11	6812.503418	3168.2854	B02_D1
B02_D1__11_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	11	7107.909668	3159.840576	B02_D1
B02_D1__11_25	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	25	11	7416.063477	3171.376221	B02_D1
B02_D1__11_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	11	733.4129028	3157.622803	B02_D1
B02_D1__11_4	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	4	11	1029.171509	3158.787354	B02_D1
B02_D1__11_5	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	5	11	1343.574585	3156.278076	B02_D1
B02_D1__11_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	11	1644.187256	3152.935791	B02_D1
B02_D1__11_7	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	7	11	1941.703125	3146.422119	B02_D1
B02_D1__11_8	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	8	11	2254.013916	3156.700439	B02_D1
B02_D1__11_9	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	9	11	2556.443848	3161.742188	B02_D1
B02_D1__12_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	12	4092.613525	3483.991455	B02_D1
B02_D1__12_15	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	15	12	4402.558105	3495.143311	B02_D1
B02_D1__12_16	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	16	12	4701.383789	3499.946045	B02_D1
B02_D1__12_17	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	17	12	5013.559082	3512.694336	B02_D1
B02_D1__12_19	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	19	12	5610.422852	3501.925049	B02_D1
B02_D1__12_2	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	2	12	457.131073	3482.301758	B02_D1
B02_D1__12_20	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	20	12	5920.282715	3507.9646	B02_D1
B02_D1__12_21	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	21	12	6219.272949	3515.519287	B02_D1
B02_D1__12_22	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	22	12	6534.185547	3497.415283	B02_D1
B02_D1__12_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	12	6828.154785	3492.082764	B02_D1
B02_D1__12_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	12	7130.575684	3497.645752	B02_D1
B02_D1__12_25	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	25	12	7435.803223	3504.812256	B02_D1
B02_D1__12_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	12	749.4301758	3497.165527	B02_D1
B02_D1__12_4	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	4	12	1066.899048	3480.282715	B02_D1
B02_D1__12_5	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	5	12	1376.119019	3492.207275	B02_D1
B02_D1__12_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	12	1663.153076	3488.82959	B02_D1
B02_D1__12_7	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	7	12	1970.377075	3493.945313	B02_D1
B02_D1__12_8	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	8	12	2267.812988	3492.332275	B02_D1
B02_D1__13_13	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	13	13	3808.71167	3790.985352	B02_D1
B02_D1__13_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	13	4119.333984	3790.671143	B02_D1
B02_D1__13_15	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	15	13	4410.506348	3796.170898	B02_D1
B02_D1__13_16	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	16	13	4719.345703	3799.693604	B02_D1
B02_D1__13_17	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	17	13	5022.654297	3796.036865	B02_D1
B02_D1__13_19	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	19	13	5616.53418	3793.985107	B02_D1
B02_D1__13_2	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	2	13	464.4699097	3772.145752	B02_D1
B02_D1__13_20	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	20	13	5936.443359	3798.717529	B02_D1
B02_D1__13_21	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	21	13	6236.932129	3793.634033	B02_D1
B02_D1__13_22	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	22	13	6532.070313	3795.785889	B02_D1
B02_D1__13_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	13	6839.911133	3799.071533	B02_D1
B02_D1__13_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	13	7123.106445	3800.66626	B02_D1
B02_D1__13_25	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	25	13	7445.199219	3796.761475	B02_D1
B02_D1__13_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	13	760.2254028	3786.619629	B02_D1
B02_D1__13_4	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	4	13	1088.533447	3781.170166	B02_D1
B02_D1__13_5	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	5	13	1382.096436	3784.288086	B02_D1
B02_D1__13_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	13	1690.790283	3784.392578	B02_D1
B02_D1__13_7	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	7	13	1986.239746	3780.522461	B02_D1
B02_D1__13_8	B02_D1	WT	B02	WT_03	AT_VL	VL				VL		3	all	8	13	2279.485107	3782.490967	B02_D1
B02_D1__14_13	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	13	14	3787.61792	4075.744385	B02_D1
B02_D1__14_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	14	4108.322754	4093.149902	B02_D1
B02_D1__14_15	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	15	14	4415.435059	4096.850586	B02_D1
B02_D1__14_16	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	16	14	4704.606445	4103.804199	B02_D1
B02_D1__14_17	B02_D1	WT	B02	WT_03	AT_HPs_CA3_sp	HPs	HP	HPs	CA3_sp	HPs_CA3_sp	HP	3	all	17	14	5003.51416	4093.099121	B02_D1
B02_D1__14_18	B02_D1	WT	B02	WT_03	AT_HPs_CA3_sp	HPs	HP	HPs	CA3_sp	HPs_CA3_sp	HP	3	all	18	14	5317.807617	4096.868164	B02_D1
B02_D1__14_19	B02_D1	WT	B02	WT_03	AT_HPs_CA3_sp	HPs	HP	HPs	CA3_sp	HPs_CA3_sp	HP	3	all	19	14	5617.727051	4092.260254	B02_D1
B02_D1__14_2	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	2	14	456.2297058	4079.538574	B02_D1
B02_D1__14_20	B02_D1	WT	B02	WT_03	AT_HPd_CA2_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	20	14	5915.258301	4100.157227	B02_D1
B02_D1__14_21	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	21	14	6216.372559	4098.080078	B02_D1
B02_D1__14_22	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	22	14	6528.753906	4100.014648	B02_D1
B02_D1__14_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	14	6832.663574	4098.743164	B02_D1
B02_D1__14_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	14	7140.739258	4103.689941	B02_D1
B02_D1__14_25	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	25	14	7432.787598	4095.539795	B02_D1
B02_D1__14_26	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	26	14	7739.890137	4105.976563	B02_D1
B02_D1__14_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	14	762.845459	4084.39624	B02_D1
B02_D1__14_4	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	4	14	1071.166016	4078.848389	B02_D1
B02_D1__14_5	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	5	14	1373.599609	4095.712891	B02_D1
B02_D1__14_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	14	1681.290649	4082.706543	B02_D1
B02_D1__14_7	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	7	14	1969.952148	4082.1521	B02_D1
B02_D1__15_11	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	11	15	3205.412842	4386.732422	B02_D1
B02_D1__15_13	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	13	15	3808.462158	4379.409668	B02_D1
B02_D1__15_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	15	4090.432129	4375.556641	B02_D1
B02_D1__15_15	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	15	15	4406.714844	4382.224121	B02_D1
B02_D1__15_16	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	16	15	4696.924316	4387.000488	B02_D1
B02_D1__15_17	B02_D1	WT	B02	WT_03	AT_HPs_CA3_sp	HPs	HP	HPs	CA3_sp	HPs_CA3_sp	HP	3	all	17	15	5009.865234	4385.292969	B02_D1
B02_D1__15_18	B02_D1	WT	B02	WT_03	AT_HPd_CA3_sr	HPd	HP	HPd	CA3_sr	HPd_CA3_sr	HP	3	all	18	15	5322.156738	4381.230469	B02_D1
B02_D1__15_19	B02_D1	WT	B02	WT_03	AT_HPd_CA3_sr	HPd	HP	HPd	CA3_sr	HPd_CA3_sr	HP	3	all	19	15	5611.356445	4396.783203	B02_D1
B02_D1__15_20	B02_D1	WT	B02	WT_03	AT_HPs_CA2_sp	HPs	HP	HPs	CA3_sp	HPs_CA3_sp	HP	3	all	20	15	5925.907715	4389.829102	B02_D1
B02_D1__15_21	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	21	15	6232.353027	4392.487305	B02_D1
B02_D1__15_22	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	22	15	6525.935547	4379.423828	B02_D1
B02_D1__15_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	15	6833.266113	4382.036621	B02_D1
B02_D1__15_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	15	7132.235352	4391.977051	B02_D1
B02_D1__15_25	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	25	15	7463.03125	4389.050293	B02_D1
B02_D1__15_26	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	26	15	7744.314453	4387.799805	B02_D1
B02_D1__15_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	15	761.3591309	4372.679199	B02_D1
B02_D1__15_4	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	4	15	1065.798828	4373.354492	B02_D1
B02_D1__15_5	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	5	15	1378.942139	4368.007813	B02_D1
B02_D1__15_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	15	1703.874146	4375.750488	B02_D1
B02_D1__16_10	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	10	16	2879.828613	4683.878418	B02_D1
B02_D1__16_11	B02_D1	WT	B02	WT_03	AT_HY	HY	BS	HY		HY	HY	3	all	11	16	3186.342529	4684.43457	B02_D1
B02_D1__16_13	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	13	16	3793.806152	4684.491211	B02_D1
B02_D1__16_14	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	14	16	4084.530029	4685.07373	B02_D1
B02_D1__16_15	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	15	16	4396.430664	4689.854004	B02_D1
B02_D1__16_16	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	16	16	4696.745605	4701.611328	B02_D1
B02_D1__16_17	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	17	16	5006.567871	4694.956543	B02_D1
B02_D1__16_18	B02_D1	WT	B02	WT_03	AT_HPs_CA3_sp	HPs	HP	HPs	CA3_sp	HPs_CA3_sp	HP	3	all	18	16	5308.245605	4687.622559	B02_D1
B02_D1__16_19	B02_D1	WT	B02	WT_03	AT_HPd_CA3_sr	HPd	HP	HPd	CA3_sr	HPd_CA3_sr	HP	3	all	19	16	5615.114746	4693.22168	B02_D1
B02_D1__16_20	B02_D1	WT	B02	WT_03	AT_HPd_CA2_sr	HPd	HP	HPd	CA3_sr	HPd_CA3_sr	HP	3	all	20	16	5912.245605	4685.458496	B02_D1
B02_D1__16_21	B02_D1	WT	B02	WT_03	AT_HPs_CA1_sp	HPs	HP	HPs	CA1_sp	HPs_CA1_sp	HP	3	all	21	16	6217.554199	4694.854492	B02_D1
B02_D1__16_22	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	22	16	6526.844727	4677.763672	B02_D1
B02_D1__16_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	16	6818.662598	4698.946777	B02_D1
B02_D1__16_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	16	7134.76709	4683.930664	B02_D1
B02_D1__16_25	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	25	16	7436.635742	4694.746094	B02_D1
B02_D1__16_26	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	26	16	7737.777832	4699.441895	B02_D1
B02_D1__16_27	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	27	16	8042.424316	4700.954102	B02_D1
B02_D1__16_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	16	758.2115479	4674.630859	B02_D1
B02_D1__16_4	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	4	16	1057.055664	4674.141113	B02_D1
B02_D1__16_5	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	5	16	1368.258423	4676.516602	B02_D1
B02_D1__16_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	16	1673.774048	4684.308105	B02_D1
B02_D1__17_10	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	10	17	2886.851807	4986.331055	B02_D1
B02_D1__17_11	B02_D1	WT	B02	WT_03	AT_HY	HY	BS	HY		HY	HY	3	all	11	17	3187.492188	4988.068359	B02_D1
B02_D1__17_13	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	13	17	3793.258789	4979.77002	B02_D1
B02_D1__17_14	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	14	17	4096.179688	4982.722656	B02_D1
B02_D1__17_15	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	15	17	4392.556152	4990.360352	B02_D1
B02_D1__17_16	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	16	17	4702.013184	4991.099609	B02_D1
B02_D1__17_17	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	TH		TH	TH	3	all	17	17	5007.925293	4984.754395	B02_D1
B02_D1__17_18	B02_D1	WT	B02	WT_03	AT_HPd_CA3_so	HPd	HP	HPd	CA3_so	HPd_CA3_so	HP	3	all	18	17	5307.327148	4989.398926	B02_D1
B02_D1__17_19	B02_D1	WT	B02	WT_03	AT_HPd_CA3_sr	HPd	HP	HPd	CA3_sr	HPd_CA3_sr	HP	3	all	19	17	5615.236328	4983.079102	B02_D1
B02_D1__17_20	B02_D1	WT	B02	WT_03	AT_HPd_CA2_slm	HPd	HP	HPd	CA3_slm	HPd_CA_slm	HP	3	all	20	17	5918.147461	4989.473633	B02_D1
B02_D1__17_21	B02_D1	WT	B02	WT_03	AT_HPd_CA1_sr	HPd	HP	HPd	CA1_sr	HPd_CA1_sr	HP	3	all	21	17	6219.717773	4985.719727	B02_D1
B02_D1__17_22	B02_D1	WT	B02	WT_03	AT_HPd_CA1_so	HPd	HP	HPd	CA1_so	HPd_CA1_so	HP	3	all	22	17	6518.353027	4993.029297	B02_D1
B02_D1__17_23	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	23	17	6823.697754	4988.459473	B02_D1
B02_D1__17_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	17	7121.249023	4982.668457	B02_D1
B02_D1__17_25	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	25	17	7439.196777	4994.609375	B02_D1
B02_D1__17_26	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	26	17	7730.323242	4996.580078	B02_D1
B02_D1__17_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	17	763.7955933	4975.36377	B02_D1
B02_D1__17_4	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	4	17	1070.368896	4977.421875	B02_D1
B02_D1__17_5	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	5	17	1371.945679	4981.272949	B02_D1
B02_D1__17_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	17	1661.050293	4970.536621	B02_D1
B02_D1__17_8	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	8	17	2277.686768	4986.331055	B02_D1
B02_D1__17_9	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	9	17	2578.377441	4984.276855	B02_D1
B02_D1__18_10	B02_D1	WT	B02	WT_03	AT_HY	HY	BS	HY		HY	HY	3	all	10	18	2865.885254	5276.085449	B02_D1
B02_D1__18_11	B02_D1	WT	B02	WT_03	AT_HY	HY	BS	HY		HY	HY	3	all	11	18	3175.175293	5276.309082	B02_D1
B02_D1__18_13	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	13	18	3782.536377	5274.194824	B02_D1
B02_D1__18_14	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	TH		TH	TH	3	all	14	18	4095.684814	5288.364258	B02_D1
B02_D1__18_15	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	HY		TH	HY	3	all	15	18	4385.25	5291.655273	B02_D1
B02_D1__18_16	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	TH		TH	TH	3	all	16	18	4693.519531	5287.225098	B02_D1
B02_D1__18_17	B02_D1	WT	B02	WT_03	AT_TH	TH	BS	TH		TH	TH	3	all	17	18	4993.435059	5290.591309	B02_D1
B02_D1__18_18	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	18	18	5302.347168	5282.071289	B02_D1
B02_D1__18_19	B02_D1	WT	B02	WT_03	AT_HPd_CA3_sr	HPd	HP	HPd	CA3_sr	HPd_CA3_sr	HP	3	all	19	18	5601.37793	5278.1875	B02_D1
B02_D1__18_20	B02_D1	WT	B02	WT_03	AT_HPd_CA2_slm	HPd	HP	HPd	CA3_slm	HPd_CA_slm	HP	3	all	20	18	5903.499512	5274.54834	B02_D1
B02_D1__18_21	B02_D1	WT	B02	WT_03	AT_HPd_CA1_sr	HPd	HP	HPd	CA1_sr	HPd_CA1_sr	HP	3	all	21	18	6205.616699	5296.395996	B02_D1
B02_D1__18_22	B02_D1	WT	B02	WT_03	AT_HPs_CA1_sp	HPs	HP	HPs	CA1_sp	HPs_CA1_sp	HP	3	all	22	18	6503.225098	5288.064453	B02_D1
B02_D1__18_23	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	23	18	6821.799316	5289.32666	B02_D1
B02_D1__18_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	18	7125.318359	5292.734863	B02_D1
