,RMSE,MAPE,SNR,PCC,ModelName,hoMR,impMR,redMR,cvFold
0,0.9052324734779739,0.0803377657194973,3.7383893540331368,0.7971552845749644,MIST,0.4553589353830269,0.0005628531275991626,0.4547960822554277,0
0,1.0519061515305514,0.08849811666674436,3.6051876331652988,0.7435023737981249,mcImpute,0.4553589353830269,0.002197636733874437,0.45316129864915244,0
0,1.0898405582628712,0.09713815174050124,3.27380064469817,0.7858239832852819,MAGIC,0.4553589353830269,0.0,0.4553589353830269,0
0,1.8116743175022183,0.13784826169499179,2.709977956017451,0.6058171460506201,spKNN,0.4553589353830269,0.02591275418017036,0.42944618120285655,0
0,3.007417111942024,0.22951622645092357,2.2120879119223997,0.3847199232270932,knnSmooth,0.4553589353830269,0.08169257464077781,0.3736663607422491,0
0,0.9072667187151453,0.0797186051149688,3.7461581764325826,0.7950016980867939,MIST,0.4553589353830269,0.0007026701465569163,0.45465626523647,1
0,1.0667425434295166,0.08847838586983596,3.60346929843249,0.7372896038279738,mcImpute,0.4553589353830269,0.0025776522212980755,0.45278128316172883,1
0,1.0925687269978375,0.0972137028569675,3.2710518175583196,0.7856272798520495,MAGIC,0.4553589353830269,0.0,0.4553589353830269,1
0,1.8212643511341005,0.1388028278100095,2.695349287741144,0.6056288379205566,spKNN,0.4553589353830269,0.02574425674706743,0.4296146786359595,1
0,2.963735738458235,0.22539385395983264,2.2439897794088277,0.38478993141544526,knnSmooth,0.4553589353830269,0.08339188917887974,0.37196704620414717,1
0,0.9173068069744457,0.08021536702741654,3.7348832945104804,0.79009283794885,MIST,0.4553589353830269,0.000734935612470244,0.4546239997705567,2
0,1.071283654414249,0.0883305037674463,3.602752786641639,0.734570118966227,mcImpute,0.4553589353830269,0.0024665156164855023,0.45289241976654143,2
0,1.0968818470912391,0.09737753804060009,3.267280230638018,0.7835627031624455,MAGIC,0.4553589353830269,0.0,0.4553589353830269,2
0,1.8315840502978042,0.13875952708991554,2.69369457855705,0.5986553384003289,spKNN,0.4553589353830269,0.026461267100696934,0.42889766828233,2
0,2.967268483641649,0.2270471756695012,2.2324822930715174,0.39600521301635844,knnSmooth,0.4553589353830269,0.07873490693205609,0.3766240284509708,2
0,0.904241671963788,0.0797552039660105,3.744589096893502,0.7963905289869198,MIST,0.4553589353830269,0.000620213955889523,0.4547387214271374,3
0,1.072557542304159,0.08875604827974912,3.5971822755934566,0.7352392274242772,mcImpute,0.4553589353830269,0.002566897065993633,0.4527920383170333,3
0,1.0966687504563906,0.09736769370907508,3.2658234674437305,0.7844814419226821,MAGIC,0.4553589353830269,0.0,0.4553589353830269,3
0,1.8234277892465576,0.1380488504750075,2.702288511035361,0.6040888508833313,spKNN,0.4553589353830269,0.02603106088851923,0.42932787449450766,3
0,2.945612436395785,0.22268918322510364,2.2598971751173917,0.3800515251590351,knnSmooth,0.4553589353830269,0.08434551294920699,0.3710134224338199,3
0,0.9102525747433884,0.08073299767268828,3.731082697556103,0.7928719245187813,MIST,0.46219921415665244,0.0006094588005850804,0.46158975535606733,4
0,1.073812210507258,0.08926528437832247,3.592043954063777,0.7331151713539237,mcImpute,0.46219921415665244,0.0024485903576447646,0.45975062379900766,4
0,1.1068826005048018,0.0984587361461545,3.2478783876606756,0.7832118087897896,MAGIC,0.46219921415665244,0.0,0.46219921415665244,4
0,1.8207665142175757,0.13955108979855765,2.6850180779202955,0.6046779782736769,spKNN,0.46219921415665244,0.026923738778787967,0.4352754753778645,4
0,2.946395121019674,0.22449592605378962,2.248773372981479,0.3841802848031904,knnSmooth,0.46219921415665244,0.07893566983107236,0.3832635443255801,4
