,gene,pval,padj,lfc
7381,Exosc8,8.123968567699235e-25,4.018521052012426e-21,-0.9487662451531289
6134,Lrrc17,5.417509972095779e-25,4.018521052012426e-21,-2.708322997946505
1859,Gm42418,8.603768040068372e-24,2.837235907346547e-20,-1.5734882216522408
1982,mt-Rnr1,1.681847313068769e-23,4.159628867047333e-20,-0.7043471064906761
7359,Cdk12,3.273390036205504e-23,5.397274604696842e-20,-0.9056966049031461
9693,A830010M20Rik,3.273390036205504e-23,5.397274604696842e-20,-0.9960531821286018
1194,mt-Rnr2,4.471408762104499e-23,5.748888030763281e-20,-0.6661734775947838
3981,Apool,4.648853153351486e-23,5.748888030763281e-20,-0.7455090147160108
7625,Phactr4,9.710316127557963e-23,1.0673795272214548e-19,-0.8496169980952404
5467,Hspb1,1.2720165813594827e-22,1.1440054581263055e-19,-0.9112497555662351
3719,Letm2,1.177667569966963e-22,1.1440054581263055e-19,-0.9341131150519981
843,mt-Atp6,1.7302623965449762e-22,1.4217179842029647e-19,-0.9769455583478575
144,Kif17,2.0172742980507983e-22,1.4217179842029647e-19,-0.8600230843583452
3611,Prkch,2.4430613293692915e-22,1.4217179842029647e-19,-0.5878916287339946
9525,Gm26917,2.1779720210239757e-22,1.4217179842029647e-19,-2.2673315262111755
2094,Parp2,2.4430613293692915e-22,1.4217179842029647e-19,-0.5865110107972535
5121,Toe1,2.0172742980507983e-22,1.4217179842029647e-19,-0.646152190030933
6060,Exosc3,4.01246664183265e-22,2.2052962493139114e-19,-0.6959539055422921
5511,Htr7,7.6476048443704675e-22,3.9286381844729256e-19,-1.1944400816589402
7734,Senp8,7.942258535273275e-22,3.9286381844729256e-19,-0.7470768237616863
8435,Dusp16,1.3462298220827192e-21,6.21124426184702e-19,-0.7142038692667247
5292,Fmn1,1.3977836011652412e-21,6.21124426184702e-19,-0.7383014645475621
9710,Mitf,1.506821614114308e-21,6.21124426184702e-19,-0.7644384663680368
203,Pcgf6,1.506821614114308e-21,6.21124426184702e-19,-0.977569793714399
4258,Spice1,1.8869960959554605e-21,7.467220950914948e-19,-0.6167997826747023
8314,Ppard,2.5449815484925967e-21,9.68365479201433e-19,-1.1945563678726607
5396,Wnt9a,2.742191799128019e-21,1.0047593877323516e-18,-0.6794599737987825
366,Nop2,3.1830682218862478e-21,1.124646211397166e-18,-0.7480253820054026
2541,Krt10,4.2857729166768556e-21,1.4620397056787634e-18,-0.8476122677770386
9697,Col11a1,4.971234535618418e-21,1.6393474420291003e-18,-0.7363637966498802
4930,Plekhm1,5.158895430773198e-21,1.6463533063432013e-18,-0.7906324649877332
6127,Epb41l4aos,5.5554866263064e-21,1.717513412314038e-18,-0.8250724649007726
4617,Sirt1,6.207564968753277e-21,1.8609527344204897e-18,-0.7671912353048915
1881,Rpap1,7.196072704641986e-21,2.0938455078536227e-18,-0.9230156081902736
4565,2610021A01Rik,8.038180990812167e-21,2.2720492726315648e-18,-0.9579652295148948
9026,Ssh3,8.339989164413959e-21,2.2918753556540915e-18,-0.7986363521710498
6076,Naa40,1.119418327260343e-20,2.993082570699074e-18,-0.78874879997925
7533,Cactin,1.2964309866130255e-20,3.3751557238322793e-18,-0.8054356483548739
4674,Sertad4,1.6752249748702048e-20,4.249487352920753e-18,-0.7087089549008265
8480,Cep164,1.9388458549177935e-20,4.7952505106754325e-18,-0.7297173142453959
8521,Srgap1,2.2434124465540884e-20,5.4131900814047794e-18,-0.6488964478054671
3206,Ppm1d,2.326667315731449e-20,5.480409465364578e-18,-0.8561813069604538
7374,Dcps,2.6913474012998078e-20,6.191976707223024e-18,-0.8496142330081939
8278,Herc6,3.1124396489178384e-20,6.998037601532767e-18,-0.788994500534371
7901,Pgpep1,3.598552380147859e-20,7.911217488178394e-18,-0.738372155582165
9884,Chrm2,3.731369490892251e-20,8.024877907260227e-18,-0.6914752494320622
8450,Robo3,3.8690306139019647e-20,8.143897843262155e-18,-0.7485339793106434
577,Scrt2,4.312854328229299e-20,8.888972472744262e-18,-0.8670346997453988
420,Sox21,4.9837591053800003e-20,9.86086576590487e-18,-0.8137210536396022
2340,Stat6,4.9837591053800003e-20,9.86086576590487e-18,-0.6732574314207067
1342,Fkbp5,5.553704900498273e-20,1.0773098545221455e-17,-0.7184104387350052
2836,E2f3,5.757646771522434e-20,1.095392298282143e-17,-0.652359517388704
8784,Zfp780b,6.893794816075961e-20,1.286798341800745e-17,-0.7041980313099172
104,Mettl21a,7.407950460025768e-20,1.3086938196613379e-17,-0.6752419774892289
6666,Gtpbp8,7.407950460025768e-20,1.3086938196613379e-17,-0.7406825120816611
7598,Zkscan8,7.407950460025768e-20,1.3086938196613379e-17,-0.6741824223842876
8691,Dkkl1,7.959975279083414e-20,1.381544481332846e-17,-0.8239401239460333
2109,Apln,8.251041451262763e-20,1.4073716047817677e-17,-0.699484957156538
7282,Ercc4,8.552622480700206e-20,1.434086342399443e-17,-0.7076840228152976
9053,Lama2,9.188842762228386e-20,1.5150870241120905e-17,-0.73021739645508
6054,Plagl1,1.0231851404250254e-19,1.5816204053476214e-17,-1.0152626832376166
7138,Nat10,1.0231851404250254e-19,1.5816204053476214e-17,-0.5027590553740335
4664,Slc8a3,1.0231851404250254e-19,1.5816204053476214e-17,-0.7474012228727007
2797,Tsga10,9.871798280288648e-20,1.5816204053476214e-17,-0.8699692942598469
4797,Kcna4,1.0604877593975756e-19,1.61406236980311e-17,-0.7858053562599405
4047,Anks1,1.099133841688524e-19,1.6475350145188738e-17,-0.874489514168669
6978,Arhgap42,1.1391711648769777e-19,1.682062736437006e-17,-0.6959321523184228
332,Rgs16,1.5158689016537301e-19,2.2053663300088752e-17,-0.8179768796423117
7433,Rn18s-rs5,1.5708741954434545e-19,2.2522693355829125e-17,-1.6807606154437895
3076,Lrrc3b,1.876905845578024e-19,2.6526042186147702e-17,-0.6936158602847433
4649,Papss2,2.2417165107091707e-19,3.123563583161384e-17,-0.575331985830239
9069,Psmg2,2.3226768243343244e-19,3.1914224754360375e-17,-0.8117752908223332
9784,Zfp689,2.4065249458231538e-19,3.261335793017597e-17,-0.6534667073590521
1914,Ier3,2.493362563801225e-19,3.288911445824736e-17,-0.7897566200184238
6102,Nkd1,2.493362563801225e-19,3.288911445824736e-17,-0.8031461213649136
987,Chdh,2.676430830922824e-19,3.483938185568355e-17,-0.5822084231671614
8469,Trmt10b,2.872768007208728e-19,3.690947259131941e-17,-0.6372268248148094
3697,Zfp593,2.976206424138925e-19,3.7748218146162036e-17,-0.7057428486813073
8551,Grik1,3.1942469977806854e-19,3.95008569363054e-17,-0.6985684519387796
2305,Trnau1ap,3.1942469977806854e-19,3.95008569363054e-17,-0.7282905323559863
3862,Hcn3,3.3091118492242177e-19,4.0416103116512576e-17,-0.7286076808303568
9115,6330403L08Rik,3.4280558121046276e-19,4.1358239206281805e-17,-0.6725085650422988
4115,Slc30a7,3.8108171577605145e-19,4.4881445406815205e-17,-1.114715142529227
6251,Zfp14,3.8108171577605145e-19,4.4881445406815205e-17,-0.8372498919905631
1755,Zfp346,3.9475577610824167e-19,4.594492815339806e-17,-0.643927727267922
1077,Snhg3,4.235744103314723e-19,4.816576599320983e-17,-0.8040395804226366
5847,Fbxl20,4.235744103314723e-19,4.816576599320983e-17,-0.9497283101763436
6257,Gm37494,5.050318645471884e-19,5.613798017938578e-17,-0.7203069958546795
8259,Ctnnd1,5.050318645471884e-19,5.613798017938578e-17,-0.765286102163059
2504,Smad5,5.230907654672131e-19,5.749929936407933e-17,-0.8783457713563658
2322,Gm12155,5.417872900620435e-19,5.89000182481736e-17,-1.567988378649198
2167,Tstd2,5.611436578020921e-19,6.034124137647932e-17,-0.6811200989409905
7881,Ap5z1,5.811828519534311e-19,6.116640376994993e-17,-0.5499108546340521
7421,Dph2,5.811828519534311e-19,6.116640376994993e-17,-0.8581224356118788
3294,Dock11,6.456392321422313e-19,6.584854560394942e-17,-0.89626698847845
1239,Shb,6.456392321422313e-19,6.584854560394942e-17,-0.5536723433469133
5717,Unc119b,6.456392321422313e-19,6.584854560394942e-17,-0.9147636435183788
5991,Xpc,6.924824340787268e-19,6.990539510551881e-17,-0.7766361830679029
9321,Sepsecs,7.171473807240235e-19,7.024494096537391e-17,-0.5963300273730763
6728,Rffl,7.171473807240235e-19,7.024494096537391e-17,-0.6070093352269339
403,Atad2b,7.171473807240235e-19,7.024494096537391e-17,-0.6902090427457699
100,Zfand1,7.426797098573868e-19,7.203265068254046e-17,-0.7175577584551709
9312,Etaa1,7.691095232871844e-19,7.38718496493215e-17,-0.7193744348391284
1468,Ppp2r1b,7.964679532090888e-19,7.576401404901457e-17,-0.6364112980857586
1627,Rhobtb3,8.24787196974912e-19,7.697754471389438e-17,-1.1439054738100092
6201,4933427D14Rik,8.24787196974912e-19,7.697754471389438e-17,-1.006004682402117
5521,1600014C10Rik,8.541005530170023e-19,7.896838103735705e-17,-0.6901594216185929
3464,2610008E11Rik,1.0901752159010725e-18,9.986206861953066e-17,-0.6697642169104094
3527,Bloc1s2,1.128785180939294e-18,1.0245019995442601e-16,-0.6699355041005122
4071,Sox4,1.1687450432869759e-18,1.0511267921125501e-16,-0.8196406777476897
3829,Ece1,1.2101013709921089e-18,1.0785164741644084e-16,-0.8665531685796362
6636,Npas4,1.252902316377657e-18,1.1066930907075143e-16,-0.6460906745586277
53,Zfp729b,1.343038911345254e-18,1.1758127389326192e-16,-0.7790465703174227
6178,Arl6ip6,1.4395737952401812e-18,1.2492722417816766e-16,-0.6545774802713922
2353,Gatb,1.597361094195967e-18,1.3623011469724744e-16,-0.6862963924645271
8431,Malat1,1.597361094195967e-18,1.3623011469724744e-16,-1.5597698227571133
6814,Nkx2-2,1.6536609455340514e-18,1.3982621995015702e-16,-0.6227296770213258
55,Fam181b,1.8345835925860505e-18,1.5380962272418473e-16,-0.5678922278487004
6701,Scn4b,1.8991305856119674e-18,1.5788318389461507e-16,-0.7977604953577764
5548,Fam126a,2.0350259031625013e-18,1.6638439057840187e-16,-0.8026872537495304
8502,Zfp948,2.0350259031625013e-18,1.6638439057840187e-16,-0.6289033985092365
6954,Frs3,2.1065304054966495e-18,1.6671924241262681e-16,-0.6310114526196955
2832,Meis3,2.1065304054966495e-18,1.6671924241262681e-16,-0.6943736700591163
860,Zfp65,2.1065304054966495e-18,1.6671924241262681e-16,-0.6413598524942037
6454,Gstk1,2.1065304054966495e-18,1.6671924241262681e-16,-0.6605960920800067
369,Igsf3,2.257063517322901e-18,1.7581991635335008e-16,-0.5678049261891083
8402,Dennd6b,2.257063517322901e-18,1.7581991635335008e-16,-1.0287629837821095
8371,Ascc3,2.502989484683657e-18,1.9345371071855798e-16,-0.5555702442090098
3672,Ino80c,2.775336681275618e-18,2.1284035494464877e-16,-0.587549438336076
1040,Mettl14,3.07690250011366e-18,2.323648582719423e-16,-1.206589839631846
9706,Myl4,3.07690250011366e-18,2.323648582719423e-16,-0.8114324761665523
1481,Crhbp,3.4107760421631946e-18,2.5370531868511643e-16,-0.7472159239852827
6784,Cst3,3.4107760421631946e-18,2.5370531868511643e-16,0.6406181116961456
6531,Tyw5,3.5298263475618126e-18,2.6060128400320157e-16,-0.4949755849091595
5289,Iffo2,3.780368056584723e-18,2.770309717317975e-16,-0.6254155713865863
6588,Spry3,3.912142742821743e-18,2.845796187848199e-16,-0.6382186518062021
1791,Lactb,4.048450101354255e-18,2.9022693371520033e-16,-0.7606009221600747
8959,Frat1,4.048450101354255e-18,2.9022693371520033e-16,-0.6483444890177141
3262,Ubtd1,4.335283062633762e-18,3.0855363552975396e-16,-0.617343236271549
6324,Reck,4.486131803929854e-18,3.1476100664026983e-16,-0.5378708116235433
7363,Gm26384,4.486131803929854e-18,3.1476100664026983e-16,-1.6866817447233897
8712,Apba3,4.642159838906475e-18,3.2341469919930816e-16,-0.6679957353471604
2552,Rab37,4.970461157726019e-18,3.4386554009359097e-16,-0.8069682783123051
6233,Bcorl1,5.143102951548927e-18,3.509014999977485e-16,-0.8795220327772455
2709,Igf1,5.143102951548927e-18,3.509014999977485e-16,-0.6125545790892097
8419,Btg2,5.506336625634156e-18,3.7311087833834734e-16,-0.7835608569865347
3886,Cyp4f15,5.697335111625511e-18,3.834267772742257e-16,-0.720219602410002
8369,Gm15542,5.8948704216303775e-18,3.940402235215495e-16,-0.7390967692554682
4075,Mpg,6.310441328682325e-18,4.161946404310283e-16,-0.6461969700753576
6219,Hs1bp3,6.310441328682325e-18,4.161946404310283e-16,-0.68410193292224
3511,Serpinb9,6.988582952513286e-18,4.578678884053903e-16,-0.7062662359683891
8479,Cuedc1,7.738556193893499e-18,5.03668002803871e-16,-0.847217248073675
8724,4632427E13Rik,8.282115393467886e-18,5.355226639710967e-16,-0.5070821190718693
1278,Gpatch2l,8.863323111159608e-18,5.693821788227403e-16,-0.6964137338529799
9071,Zfp513,9.484749271689789e-18,6.05371771256949e-16,-0.6713242709795004
7411,Il17d,1.014913658209813e-17,6.395248930362854e-16,-0.7565837386078078
1006,mt-Co3,1.014913658209813e-17,6.395248930362854e-16,-0.679288874477253
2854,Polr3c,1.0498347808371757e-17,6.532085211837848e-16,-0.6367096864256192
9876,Zfp511,1.0498347808371757e-17,6.532085211837848e-16,-0.8170213491033316
1463,Smim3,1.0859411965622586e-17,6.714510160994015e-16,-0.67285633121298
8189,Snx24,1.1232725700858384e-17,6.902195985005713e-16,-0.9465072229418983
1944,March9,1.1618698739766177e-17,7.095295471142394e-16,-0.8128035419447883
3632,Zfp846,1.2430329586152852e-17,7.544371202196942e-16,-0.7710673208399248
2788,Pou3f2,1.2856876128419211e-17,7.755675337710442e-16,-0.5287459434620185
3564,Gm5045,1.3297860362759874e-17,7.877588776573858e-16,-0.6633435773607506
8651,Spats2,1.3297860362759874e-17,7.877588776573858e-16,-0.8770319062421859
5090,Lyrm7,1.3297860362759874e-17,7.877588776573858e-16,-0.6201477509924729
7788,Il11ra1,1.3753764055649326e-17,8.051241881807028e-16,-0.6060538661155253
2221,Pbdc1,1.3753764055649326e-17,8.051241881807028e-16,-0.5444399850669788
2012,Eya3,1.4225084812291958e-17,8.27816259105908e-16,-0.7118693487538437
1395,Ddx20,1.5216050223827384e-17,8.701293922793312e-16,-0.7173283540672584
9550,Tox,1.5216050223827384e-17,8.701293922793312e-16,-0.8195514230479137
8028,Zfyve16,1.5216050223827384e-17,8.701293922793312e-16,-0.7668647518958238
1719,Bag2,1.6275074108443985e-17,9.253408514645767e-16,-0.7037948885929275
2551,Adam9,1.6831535435164073e-17,9.515107432004466e-16,-0.7720980533672472
9104,Ltk,1.7406761953329783e-17,9.784380454789292e-16,-0.6644214119252307
7166,Slc7a2,1.8001377445853637e-17,1.0061447857165539e-15,-0.6052411323361202
7668,Rnaseh2b,1.8616026122906874e-17,1.0288734437649034e-15,-0.7856237866460765
6580,Rnf113a2,1.8616026122906874e-17,1.0288734437649034e-15,-0.5826537682673516
1268,Pigz,1.9251373280470625e-17,1.0522311373684856e-15,-0.8372971783812915
4947,Zfp397,1.9251373280470625e-17,1.0522311373684856e-15,-0.8441315521033568
7217,Zfp629,1.9908105979774377e-17,1.0821477607577359e-15,-0.5110927249908066
4506,Triobp,2.0586933748268992e-17,1.1068833454979629e-15,-0.6720649363453894
1089,Tmem104,2.0586933748268992e-17,1.1068833454979629e-15,-0.8162436298223366
8779,Ndst2,2.1288589302812535e-17,1.1384216971498617e-15,-0.4838448214853752
7406,Pde3b,2.2013829295748316e-17,1.1522900170520533e-15,-0.7774655541034239
4400,Nfkb1,2.2013829295748316e-17,1.1522900170520533e-15,-0.52057946039423
6539,Ttc39c,2.2013829295748316e-17,1.1522900170520533e-15,-0.7577742329317827
5785,Afap1l1,2.2013829295748316e-17,1.1522900170520533e-15,-0.6402260691938597
1768,Actl6a,2.3538213526123907e-17,1.2255976127049674e-15,-0.5468889512956938
9797,1110032F04Rik,2.4338997795424835e-17,1.2606581423567429e-15,-0.6779441046686543
6766,Otud7a,2.516664823101407e-17,1.296737765361574e-15,-0.7105563718815118
152,Mphosph9,2.6022053206507154e-17,1.333866178093136e-15,-0.6452000693358491
8187,Pigu,2.781982587096239e-17,1.4113924991868252e-15,-0.6379338326067661
4944,Surf6,2.781982587096239e-17,1.4113924991868252e-15,-0.6189458438119573
8528,Cep68,2.87641187184973e-17,1.4371890226368374e-15,-0.5355829291259475
6652,Gm9008,2.87641187184973e-17,1.4371890226368374e-15,-0.604380195516983
5452,Bloc1s5,2.87641187184973e-17,1.4371890226368374e-15,-0.8331780070597326
4311,Tnfaip8l3,3.074856743461636e-17,1.5209778881532984e-15,-0.7082081714681827
4805,Camk1g,3.074856743461636e-17,1.5209778881532984e-15,-0.9117036920535639
1841,Smim18,3.1790842413924685e-17,1.5647104676664525e-15,-0.636710220662966
2383,Gpsm2,3.398105198021373e-17,1.6642304318824479e-15,-0.584699489949017
4566,Ercc8,3.513131884211121e-17,1.7036967514951283e-15,-0.6749606601969242
2099,Shd,3.513131884211121e-17,1.7036967514951283e-15,-0.7919045051524911
7294,Casp9,3.8817568378019945e-17,1.8732790437256162e-15,-0.683997893900008
2100,Npr2,4.1484422788154923e-17,1.992259197297168e-15,-0.591985568543171
4140,Cntn6,4.288482649729254e-17,2.0495632296507976e-15,-0.647662147442154
3580,Pld5,4.433184013983577e-17,2.108533146650939e-15,-0.6914898345158917
2889,Dusp5,4.7371861147059085e-17,2.231665820608836e-15,-0.5113658671007473
3344,Tmem8,4.7371861147059085e-17,2.231665820608836e-15,-0.7182419584871029
7118,Rsad1,5.061731680310854e-17,2.3732564698253688e-15,-0.5399625420933578
7565,Jrkl,5.2321320890713025e-17,2.4301165613700656e-15,-0.7082758907127857
3049,Cc2d1a,5.2321320890713025e-17,2.4301165613700656e-15,-0.8273387726826664
8699,Abhd18,5.408187939516035e-17,2.5001496862444922e-15,-0.6635427472129312
3960,Rimkla,5.778011675513403e-17,2.6463828474932455e-15,-0.5803252766198606
1686,Gamt,5.778011675513403e-17,2.6463828474932455e-15,-0.7444819764539821
9858,Unc5b,6.172754994833432e-17,2.8141504683818965e-15,-0.6200404182212882
1333,Slf1,6.379984098202989e-17,2.8952836093358794e-15,-0.6301954761185709
597,Fzd2,6.594071461380044e-17,2.978773925453551e-15,-0.4548871084068633
5865,A230103L15Rik,6.815240702493901e-17,3.050822455645799e-15,-0.7443003236051116
1264,Ret,6.815240702493901e-17,3.050822455645799e-15,-0.5918934047278563
5760,Amer3,7.775464872538062e-17,3.434047945715136e-15,-0.7289077583074004
4296,Gadd45g,7.775464872538062e-17,3.434047945715136e-15,-0.862863614675204
8838,Dlgap2,7.775464872538062e-17,3.434047945715136e-15,-0.7396465146809641
4884,Caskin2,8.035657112953003e-17,3.5331891474864027e-15,-0.7106269573466646
4494,Tmem80,8.304431878214507e-17,3.603322130314742e-15,-0.6084522227782596
2496,Zbtb21,8.304431878214507e-17,3.603322130314742e-15,-0.6989133090048281
8990,Hint3,8.304431878214507e-17,3.603322130314742e-15,-0.5376689931499259
9474,Lingo2,8.58206805234622e-17,3.707528351172976e-15,-0.7586724244504497
4665,Mllt10,9.78712272099746e-17,4.209739351253386e-15,-0.6982968504729108
6900,Topbp1,1.0113571456367647e-16,4.312653552493325e-15,-0.6350901453753597
1679,Zfp120,1.0113571456367647e-16,4.312653552493325e-15,-0.683680309741626
8766,Ccdc137,1.0450752388089188e-16,4.4183458707421505e-15,-0.6071709940640249
2908,Tet3,1.0450752388089188e-16,4.4183458707421505e-15,-0.573505017561974
4036,Zfp719,1.1158712087953226e-16,4.6776753680559856e-15,-0.6498803588415782
9747,2310009B15Rik,1.1158712087953226e-16,4.6776753680559856e-15,-0.7525436275925825
9103,Jmjd6,1.1530219523144902e-16,4.813015263395465e-15,-0.6531657453074811
5643,Atf7,1.2310199084234543e-16,5.095598307126876e-15,-0.6348482793685903
6259,Pgm3,1.2310199084234543e-16,5.095598307126876e-15,-0.731303125876722
9285,Sod3,1.2719471709722467e-16,5.199741058854726e-15,-0.8365611295246245
179,Cacng5,1.2719471709722467e-16,5.199741058854726e-15,-0.5909297405700178
4415,Golim4,1.2719471709722467e-16,5.199741058854726e-15,-0.5195596213840155
6480,Prkd3,1.3142154512628205e-16,5.2637787284789815e-15,-0.5946477366973317
5817,Kdm6a,1.3142154512628205e-16,5.2637787284789815e-15,-0.7715943544157096
2968,Pank4,1.3142154512628205e-16,5.2637787284789815e-15,-0.7267966484357746
2624,Trhde,1.3142154512628205e-16,5.2637787284789815e-15,-0.5897483081885415
3100,Mir22hg,1.3142154512628205e-16,5.2637787284789815e-15,-0.8289060067471983
8229,Bbs5,1.4029495483712515e-16,5.5965241459825765e-15,-0.6645670733984792
70,Dnttip2,1.4495060863665938e-16,5.759021571254904e-15,-0.6096332262105442
7000,Klhl15,1.5985086933076538e-16,6.250611265965462e-15,-0.6816333790051718
7784,Spaca6,1.5985086933076538e-16,6.250611265965462e-15,-0.6175140368942857
9037,mt-Atp8,1.5985086933076538e-16,6.250611265965462e-15,-1.5641011536446534
1676,Zfp37,1.5985086933076538e-16,6.250611265965462e-15,-0.7130919834708838
8003,Def8,1.651455918877064e-16,6.432225750177478e-15,-0.8687491681596171
4114,Tprn,1.706131368588022e-16,6.593264699000509e-15,-0.6055647287757973
321,Mettl5,1.706131368588022e-16,6.593264699000509e-15,-0.6500000603244338
5475,Gm26722,1.8208909110265026e-16,7.0093672306557164e-15,-0.5426082315436282
773,Ccdc115,1.8810914372060455e-16,7.2130378249145e-15,-0.6702453456670217
6653,Desi2,1.9432531654405007e-16,7.42262685934474e-15,-0.6307575379186652
9783,Ank1,2.007439013357356e-16,7.551176486366662e-15,-0.7927911127174019
5079,Chchd5,2.007439013357356e-16,7.551176486366662e-15,-0.5705870731765872
5523,Slc35a1,2.007439013357356e-16,7.551176486366662e-15,-0.6404725150460298
1241,Alkbh1,2.007439013357356e-16,7.551176486366662e-15,-0.46449999441818157
220,Mtif3,2.1421447319038495e-16,7.997070880273502e-15,-0.5566232471951658
3819,Plekha2,2.1421447319038495e-16,7.997070880273502e-15,-0.4247411773664247
6465,Thap3,2.285752782944123e-16,8.501109880325642e-15,-0.6857010955159328
1420,Cox11,2.4388422041523884e-16,9.036504092014823e-15,-0.7807331986535297
9333,Rlf,2.5191334433996425e-16,9.299174311773382e-15,-0.6869074339527224
7119,Zbtb1,2.6020290737079276e-16,9.569469749513951e-15,-0.6484321290961574
6938,Dgkb,3.0585775665762614e-16,1.116550105761585e-14,-0.9098116205525564
6190,Mrrf,3.0585775665762614e-16,1.116550105761585e-14,-0.7467729775446967
7104,Ephx2,3.158940673316498e-16,1.1489485323941218e-14,-0.5371284308254713
2937,Gkap1,3.2625482315978906e-16,1.1736868965526521e-14,-0.7362343160289715
8410,Lats1,3.2625482315978906e-16,1.1736868965526521e-14,-0.7056664314008039
5588,Tac2,3.2625482315978906e-16,1.1736868965526521e-14,-0.6980616587351589
5546,Tmem141,3.369503502117591e-16,1.2077716719728016e-14,-0.7770011912736559
7659,Trmt6,3.479912978829591e-16,1.238373348905077e-14,-0.5492234452824043
4813,Txndc11,3.479912978829591e-16,1.238373348905077e-14,-0.5972253972649115
3831,Oxsr1,3.593886488464134e-16,1.2697971082277028e-14,-0.8631552933537119
3210,Mtap,3.593886488464134e-16,1.2697971082277028e-14,-0.5712375703961108
9250,Zfp385b,3.711537293055863e-16,1.3066988768755036e-14,-0.7200824079416055
7466,Tsfm,3.832982195568858e-16,1.3446699596015146e-14,-0.5149602389773902
8624,Gjb2,3.9583416487123133e-16,1.3644555376554326e-14,-0.6462327042944267
5962,Klhl42,3.9583416487123133e-16,1.3644555376554326e-14,-0.8076994545748981
5196,Adprhl2,3.9583416487123133e-16,1.3644555376554326e-14,-0.707503315432878
4825,Pign,3.9583416487123133e-16,1.3644555376554326e-14,-0.6271998419311693
1758,5031425E22Rik,3.9583416487123133e-16,1.3644555376554326e-14,-0.7606567656867336
8197,Ddx49,4.2213049424277506e-16,1.4500475623415882e-14,-0.6855513242557842
3455,BC017643,4.501468135876134e-16,1.540935095786249e-14,-0.5304766973989503
6649,Klhl29,4.648342912997544e-16,1.5694899808288292e-14,-0.501208497607788
3931,Npnt,4.648342912997544e-16,1.5694899808288292e-14,-0.4787174523372224
425,Ring1,4.648342912997544e-16,1.5694899808288292e-14,-0.5559382858820108
6694,Trmt2b,4.648342912997544e-16,1.5694899808288292e-14,-0.6638351184956388
379,Cpe,4.956403097828021e-16,1.6678127839051907e-14,0.5561583921825104
540,Gpatch2,5.117891825003243e-16,1.7105170211066584e-14,-0.607865357997408
4966,Eri1,5.117891825003243e-16,1.7105170211066584e-14,-0.6520093980170545
2655,Cables1,5.28456307549075e-16,1.7543685404640937e-14,-0.8217719202388256
6265,Pprc1,5.28456307549075e-16,1.7543685404640937e-14,-0.5877747497158854
8621,Pkp2,5.4565805572124185e-16,1.8054164365385437e-14,-0.7311180022695893
3929,Fastkd3,5.634113064403034e-16,1.8579426848713073e-14,-0.6110818062509757
8445,Uty,5.817334632912931e-16,1.8993693572081727e-14,-0.6126535223840381
7141,Prcc,5.817334632912931e-16,1.8993693572081727e-14,-0.5378897660452182
2785,Csmd2,5.817334632912931e-16,1.8993693572081727e-14,-0.7494335369799412
5110,Rgp1,6.201568269922464e-16,2.0115447506341946e-14,-0.5992444390393823
8574,Foxn2,6.201568269922464e-16,2.0115447506341946e-14,-0.6821438392948185
2321,Decr2,6.610784786773725e-16,2.137271042338316e-14,-0.6195301394456685
8440,Diexf,6.825257125730294e-16,2.150390724358274e-14,-0.6925551948526705
3004,Gm6851,6.825257125730294e-16,2.150390724358274e-14,-0.7193418304852885
4860,Mlst8,6.825257125730294e-16,2.150390724358274e-14,-0.5630245089266879
4005,Cep162,6.825257125730294e-16,2.150390724358274e-14,-0.6283171085527925
9288,Plvap,6.825257125730294e-16,2.150390724358274e-14,-0.6687254320692233
9165,Vwa1,6.825257125730294e-16,2.150390724358274e-14,-0.5617659008126417
5480,Ubxn2a,6.825257125730294e-16,2.150390724358274e-14,-0.8074859476531477
651,Depdc5,6.825257125730294e-16,2.150390724358274e-14,-0.6638299751230301
3702,Hmgcll1,7.274975242904102e-16,2.2775737366471606e-14,-0.6930173449613477
6522,Adam17,7.274975242904102e-16,2.2775737366471606e-14,-0.5490670023395827
893,Nabp1,7.510658653812329e-16,2.32924595806161e-14,-0.6882939879654204
2760,Tmem229b,7.510658653812329e-16,2.32924595806161e-14,-0.6454990804302856
2079,Parvb,7.510658653812329e-16,2.32924595806161e-14,-0.5468371470428401
6750,Ncam2,7.753861363321196e-16,2.3822655424638693e-14,-0.6049892130592616
5464,Zfp738,7.753861363321196e-16,2.3822655424638693e-14,-0.6163956138911351
3254,Rad51d,7.753861363321196e-16,2.3822655424638693e-14,-0.8007925775086768
9332,Grm4,8.004819460426209e-16,2.444187621049274e-14,-0.638331361597781
7629,Lss,8.004819460426209e-16,2.444187621049274e-14,-0.729056645947999
1590,Twistnb,8.263776323527505e-16,2.5154935128817723e-14,-0.5174799394767602
1931,Gm13653,8.53098284156568e-16,2.5809484174804058e-14,-0.5987025071045746
7932,Slc25a42,8.53098284156568e-16,2.5809484174804058e-14,-0.598705389399929
946,Prag1,8.806697641740979e-16,2.6401412051437427e-14,-0.8573339810289777
8185,Pnoc,8.806697641740979e-16,2.6401412051437427e-14,-0.6935586910790956
5135,Adra1b,8.806697641740979e-16,2.6401412051437427e-14,-0.6441744368222526
9207,Acvr1,9.09118732401157e-16,2.7171938427929444e-14,-0.6075855059702304
9054,Mapk11,9.687599054469376e-16,2.878060583959926e-14,-0.6644254178482276
5356,Mertk,9.687599054469376e-16,2.878060583959926e-14,-0.7491653470136646
1672,Ndst3,1.0000096375713058e-15,2.9620045941595593e-14,-0.6100706102222375
