,gene,pval,sig,lfc,DEG
965,STMN1,6.248568042011585e-12,7.474488361309139,3.920094389830987,Up
1043,MMP14,7.427032303485306e-12,7.399737743816929,4.2665098131071,Up
5132,CLU,8.822480269109087e-12,7.325216522929843,-4.215642866352812,Down
1065,METRN,9.510938130564185e-12,7.2927318371918695,4.88962859484005,Up
236,S100A1,9.613490741324819e-12,7.288162790485058,5.096588967493522,Up
1901,PHLDA1,1.2035383931100373e-11,7.190837052579578,4.947116524548244,Up
616,RPL9,1.2164532311304766e-11,7.186290905542576,-0.6223523781973679,Not significant
1811,TSPAN8,1.2968416426282448e-11,7.158620822663755,5.826089823061282,Up
2090,LDHA,1.3533009156881391e-11,7.140218510776752,2.9738257692985615,Up
133,SHISA2,1.604212970897348e-11,7.066526603595642,4.772067335040555,Up
394,ACTB,1.6213252350805163e-11,7.06200604776261,-0.6122826807375699,Not significant
1168,RPS27L,1.6213252350805163e-11,7.06200604776261,3.6982710176618356,Up
282,CH507-513H4.5,1.8411474563786465e-11,7.0070094717312,-1.833603903593378,Down
2629,IVNS1ABP,1.9207122604124488e-11,6.98873671669337,4.361252969151401,Up
1727,ITGA10,2.3969480011674778e-11,6.892704617676006,5.132029731974055,Up
1418,CEACAM1,2.5800303795070173e-11,6.860844935059716,5.3291390034086366,Up
1473,PTPRJ,2.7477988727750078e-11,6.833584021884313,4.778709225346893,Up
170,RPL6,2.7767796499444648e-11,6.8291126161805265,-0.7463014478329217,Not significant
3976,DCT,2.8655287772075803e-11,6.815539388100195,4.7240564994232965,Up
1142,HAPLN1,2.988191389229864e-11,6.797429562939031,4.978165364293829,Up
553,MALAT1,2.988191389229864e-11,6.797429562939031,-1.3950653337444798,Down
1761,ASAH1,3.083546538872095e-11,6.78395843739405,2.412417659165608,Up
2370,PEG10,3.14876448027678e-11,6.7749561463750645,4.768064315361223,Up
1181,TBC1D10C,3.181877784417876e-11,6.770496335856949,-4.683038299277333,Down
901,TYR,3.2153318231634104e-11,6.7660385739043445,4.918216158749109,Up
609,GNG12,3.317772772873893e-11,6.752507120209096,4.837613862409673,Up
3694,HLA-DPB1,3.352624345155597e-11,6.7480516958566525,-3.6277321661095856,Down
2416,PPFIBP1,3.9204621573801603e-11,6.680216513489047,4.008693480636343,Up
2339,METTL9,4.173058297897083e-11,6.6531932878292945,4.6218495953491985,Up
1056,CAPN3,4.173058297897083e-11,6.6531932878292945,4.56060578737688,Up
1217,TSPAN3,4.216678025255665e-11,6.648842363354793,3.287443243604785,Up
620,RPS12,5.0302250716512955e-11,6.5723391295814455,-0.43952220449763146,Not significant
143,PYGL,5.0825913287537565e-11,6.56792438279481,4.717621574115477,Up
613,HSP90AB1,5.935131934366647e-11,6.500683913353165,2.096551590474017,Up
1839,UQCRQ,5.996695024700395e-11,6.496285475613466,4.7527146334340085,Up
40,POLR2L,6.579618299297918e-11,6.4560904988375425,3.4954515617080943,Up
379,LRPAP1,6.927043640524531e-11,6.433830681530399,4.303678160806176,Up
2004,EVA1A,7.14404396855598e-11,6.420520216170708,4.695831955130913,Up
2059,HLA-DMB,7.292389509253263e-11,6.411678368412838,-3.868204288060512,Down
745,DSTN,7.755732062895148e-11,6.385013972991351,4.11105426272356,Up
2703,MYL9,7.835705050680661e-11,6.3806410959954825,-4.150600678423567,Down
875,GJB1,8.332753538020384e-11,6.354018731832434,4.638497445840445,Up
5283,RASGRP2,8.418539217028071e-11,6.349653244421005,-4.627033948738718,Down
297,MIA,9.230496253110622e-11,6.309755610235961,5.025172191953622,Up
4666,C3,9.914491259550668e-11,6.278798051818351,-4.298743525059679,Down
1987,PHLDA2,1.0647956427305037e-10,6.247889591990123,4.764240990660695,Up
192,PPDPF,1.3048264881904488e-10,6.159699342229977,4.240680406426673,Up
2220,MYO10,1.358818753909491e-10,6.142174899372102,4.666034051572925,Up
4105,CORO1A,1.518805770075612e-10,6.093922270756152,-3.873320837482682,Down
51,DCN,1.518805770075612e-10,6.093922270756152,-4.420362576863415,Down
1558,HPGD,1.5342311018758163e-10,6.08969804410954,4.745040518965965,Up
121,TYMS,1.5814313705336605e-10,6.076622073188088,4.587350318153739,Up
2337,SMS,1.6632699617541898e-10,6.054794369948717,4.121011215438594,Up
948,FMOD,1.8769356861822956e-10,6.002395293841446,4.346235921219357,Up
2409,PHB,2.034040674749849e-10,5.9675703129361235,4.289458884469128,Up
228,SERF2,2.1173394969862134e-10,5.950223011225787,1.151814174207333,Up
917,RTN4,2.138679412880217e-10,5.945950279913581,3.7569140319098224,Up
1976,TMEM98,2.2039675471501054e-10,5.9329740070151,4.91470889934916,Up
652,PGK1,2.2039675471501054e-10,5.9329740070151,2.0721042483425434,Up
391,OLIG1,2.6123855984357897e-10,5.859311726536961,4.509813303417281,Up
1243,NUPR1,2.8012627970219845e-10,5.829079443454386,4.319919716750441,Up
5360,HVCN1,2.886233848158098e-10,5.816184756625156,-4.533180348550817,Down
4078,CXCL13,3.156530191033813e-10,5.777390779798032,-4.457607358959003,Down
1066,SLC38A2,3.48587843365572e-10,5.734373179121465,3.2716504972625478,Up
19,SEC11C,3.6629037202794973e-10,5.712943229540125,4.779841465454533,Up
2490,YWHAE,3.8486951994150206e-10,5.691538474678164,4.167672481760726,Up
2111,CHPF,4.419220122797129e-10,5.631591244963092,4.573450808625996,Up
5276,PTPRC,5.022414042302995e-10,5.5761089287357,-3.9050617454956504,Down
4852,LBH,5.072006711108213e-10,5.571923897139364,-4.082286913215221,Down
3869,ETS1,5.172629879871792e-10,5.563474878205022,-2.641844587185876,Down
872,ETV1,5.275200246783072e-10,5.555029895624305,4.520158772171362,Up
5359,LINC00926,5.327227067899495e-10,5.5508500006180865,-4.6803879550048375,Down
2517,DPYSL3,5.594964767863055e-10,5.529636940832788,4.529402749681787,Up
1127,SDC2,5.76186301771723e-10,5.516954050221785,4.216865368393733,Up
638,GDF15,6.231032789819442e-10,5.483040405380428,4.952161450194821,Up
2298,CD320,6.671976483772367e-10,5.453429144827048,4.645776363911308,Up
1809,GSTP1,6.671976483772367e-10,5.453429144827048,3.2037798685613073,Up
1236,ERGIC3,6.870139677640477e-10,5.440883087206233,4.665673778039024,Up
533,ATP5E,7.213241605011616e-10,5.4198011869069855,1.5613815476933866,Up
759,CD99,7.573038374821047e-10,5.398744402076939,2.2859932313331974,Up
3345,PTPN6,7.721807377564809e-10,5.390378218880834,-3.8521310331964926,Down
2660,STK32A,8.027946420546285e-10,5.373575590985325,4.5925812404702295,Up
790,GPM6B,8.265288066440049e-10,5.361004759854212,4.799319331456557,Up
2357,SPRY4,8.592414868166947e-10,5.344230399763814,4.57607234658169,Up
2392,CPEB2,8.76067974752135e-10,5.335890456278206,4.301513595333036,Up
3054,BLK,9.651395042407797e-10,5.293921602716226,-4.271549977276771,Down
1411,IER3,9.651395042407797e-10,5.293921602716226,3.9875261942022404,Up
803,AP2S1,9.935417050272658e-10,5.281490854284491,4.378323091504138,Up
4490,CD79A,9.935417050272658e-10,5.281490854284491,-3.912879507803567,Down
333,ST3GAL6,1.0031889821008046e-09,5.27745932397106,4.48341923716164,Up
955,PEG3,1.0031889821008046e-09,5.27745932397106,4.436399266463046,Up
1997,ALDH1A1,1.032682114846292e-09,5.265040764632765,4.438313558089469,Up
1646,VAPB,1.0426997549715698e-09,5.260930849410733,4.339884251326823,Up
1477,RGS20,1.0942264728019619e-09,5.240065895711714,4.388458052850741,Up
5235,CD19,1.1372276601579296e-09,5.22340864797344,-4.127386484087429,Down
751,CCL21,1.1933008806686572e-09,5.202589111722273,-4.581002539646221,Down
352,SDC4,1.2164770451997274e-09,5.1943179609123415,4.1936210773139635,Up
2408,AP2M1,1.3263153385924345e-09,5.156858402876934,3.0060836765190153,Up
5110,NCF1,1.3650322967339182e-09,5.144445168348127,-3.4776682028007633,Down
1486,ENTPD6,1.4183725540350482e-09,5.12788075813073,4.288645435805023,Up
2104,CTSK,1.4457991440201844e-09,5.119645945262463,4.437480170723821,Up
2214,SYNGR2,1.4597055947597775e-09,5.115571425514121,-2.248892854747915,Down
841,IGF1R,1.4597055947597775e-09,5.115571425514121,4.353256543287314,Up
461,RPN2,1.4597055947597775e-09,5.115571425514121,1.8666679747893271,Up
1183,TMED9,1.531216818991171e-09,5.095048583531045,4.479929209898516,Up
1072,ST3GAL4,2.0184303220293584e-09,4.975156151536145,4.618899311104367,Not significant
1004,PTPRA,2.1366369500453734e-09,4.950522324779376,4.262688637612971,Not significant
253,LINC00657,2.3047840701339802e-09,4.917706111609006,2.1101992091219026,Not significant
4762,ANXA6,2.3266879783604507e-09,4.913681089319041,-3.5235909230970326,Not significant
411,COL1A1,2.39362330580512e-09,4.901446442613344,-3.5420678384910187,Not significant
2242,PTMS,2.4624328241800947e-09,4.88922088728146,4.150989016095609,Not significant
1432,CTSL,2.4857945872826823e-09,4.885202971720632,4.262919773136751,Not significant
306,SAT1,2.5093721657363066e-09,4.881186077775248,3.0593278223048115,Not significant
1668,PDIA4,2.7059981720303887e-09,4.848507015238646,3.3706950607467414,Not significant
1620,PYROXD2,2.836424692549223e-09,4.828146476292815,4.422880975982801,Not significant
1468,TPX2,2.890291903375949e-09,4.820059072954724,4.017596111930413,Not significant
1222,BTBD3,2.9451547823744874e-09,4.811975719782461,4.496433670341779,Not significant
2464,PIGT,3.029355158635102e-09,4.799816784873419,4.226554623239355,Not significant
2466,SSFA2,3.0579393438193897e-09,4.7958211584555155,4.196834905203149,Not significant
750,HMHA1,3.08678607940294e-09,4.791826553070305,-3.6902801587221057,Not significant
300,PLOD3,3.204845676870544e-09,4.775609201196287,4.234739552024529,Not significant
1285,PCNA,3.265512647945645e-09,4.767548107179688,3.933299164280974,Not significant
938,CRIP2,3.519557462192961e-09,4.735094938577423,4.306197594122511,Not significant
3209,ENG,3.792802846247739e-09,4.702706267183896,-3.1384144313841444,Not significant
5097,TCL1A,3.973952357983399e-09,4.682527259116212,-4.3825659599801075,Not significant
1229,RGS5,4.0111796347758414e-09,4.678560964821921,4.462200143629058,Not significant
746,SPTBN1,4.086655233191115e-09,4.670548306340597,2.9278467626515097,Not significant
1415,CYTH3,4.321469884414695e-09,4.646368321964419,4.0257205231082915,Not significant
425,RPS9,4.402620613341142e-09,4.638371816325894,-0.518703215862919,Not significant
654,CD109,4.569395181652609e-09,4.622307772130476,4.237001137154583,Not significant
2349,COX6C,4.65507202049067e-09,4.6143233943160284,2.075294271024201,Not significant
2382,SNCA,4.698494645871538e-09,4.610374319548035,4.285818870025475,Not significant
3874,ITGB5,4.698494645871538e-09,4.610374319548035,4.4361887137816645,Not significant
1941,SOX8,4.831140731261662e-09,4.598449988672179,4.275336549912957,Not significant
2605,SCD,5.550965065413126e-09,4.53821546015713,4.082857341553673,Not significant
1297,NOP56,5.6024977624646094e-09,4.5342855808881675,3.8216608476584004,Not significant
3747,ARHGEF1,5.8672227413345795e-09,4.514318337275347,-2.4105305610323926,Not significant
2753,TNFRSF13C,6.924801757536051e-09,4.442428265705066,-4.202113920649629,Not significant
549,CH507-513H4.3,7.73053089237858e-09,4.3947106271073215,-2.993137989002097,Not significant
213,RPSA,8.018831763203858e-09,4.378892528436279,-0.8588021953824221,Not significant
1588,H2AFZ,8.548707776966741e-09,4.351187153416348,2.7456415469607993,Not significant
272,ARHGDIA,8.627130271675445e-09,4.347304714674068,3.4455418799338657,Not significant
4097,B4GALT5,8.866617440818478e-09,4.335496758712437,4.11610783272968,Not significant
479,SMAP2,9.712505474539232e-09,4.296007871335057,-3.812249058714586,Not significant
1212,CAV1,1.016436368103204e-08,4.27634289632763,3.843055422989667,Not significant
2221,ZNF106,1.0733607143055293e-08,4.252761496002764,4.191724910384448,Not significant
675,FAU,1.0930150629755406e-08,4.244964705352033,-0.5265759587177765,Not significant
462,CALU,1.0930150629755406e-08,4.244964705352033,4.3052112166055,Not significant
4811,IL16,1.1540997741226094e-08,4.221515132513083,-3.35170023067072,Not significant
2896,RP13-735L24.1,1.2184966789249798e-08,4.198018377693384,4.079676860505272,Not significant
1552,TFRC,1.2748160293594761e-08,4.178479369907591,3.955843748167838,Not significant
2594,NDUFB1,1.357930999788605e-08,4.1511336683681,4.289484819138384,Not significant
2496,SLC25A4,1.4077643685609025e-08,4.135565509234766,4.419704998011737,Not significant
2175,RAB38,1.4333427941614642e-08,4.1278292514331305,3.9306560269165853,Not significant
1170,LSM4,1.4333427941614642e-08,4.1278292514331305,4.233429941073769,Not significant
3042,LAPTM4B,1.4333427941614642e-08,4.1278292514331305,4.113768934806545,Not significant
145,LGI4,1.5822995606098827e-08,4.085143059016101,4.155466504585895,Not significant
2006,RPL29,1.6401085458716158e-08,4.069643447002232,-0.5483179524611597,Not significant
433,TMX4,1.6697770998051812e-08,4.061941502736143,3.7858245440728227,Not significant
294,ACOT7,1.8098614220044097e-08,4.027039930567994,4.019522783783944,Not significant
404,GNAI2,1.9439109102126525e-08,3.996094091085161,-1.2694453774422483,Not significant
964,MAGED2,2.0145022108403313e-08,3.9806871774417174,4.050186825706353,Not significant
2267,AAMP,2.0507249381055916e-08,3.9730316116564586,4.3103439779194765,Not significant
3933,HSPA1A,2.1250770434626223e-08,3.957648893445396,3.8075866979694166,Not significant
2201,CTSS,2.1250770434626223e-08,3.957648893445396,-2.5132101329049865,Not significant
2170,PPP2R4,2.163227935087399e-08,3.9500891745492863,4.1172021025978935,Not significant
4613,CCR7,2.322589679469755e-08,3.9193045322725286,-3.9626322826177396,Not significant
486,RPS29,2.343293811322185e-08,3.9155342763568592,-0.45378245458094746,Not significant
546,ETV5,2.3641770341438296e-08,3.9117650456826167,3.5749203787899706,Not significant
414,TF,2.5155015966513774e-08,3.8849059610578744,4.118638767411966,Not significant
1107,TMEM121,2.5155015966513774e-08,3.8849059610578744,3.781647278686497,Not significant
985,DDOST,2.676208603946876e-08,3.8581800615570296,2.872758973695431,Not significant
821,GANAB,2.676208603946876e-08,3.8581800615570296,4.042525812590609,Not significant
3314,NUCB1,2.846859897172351e-08,3.8315035685087713,3.9638158416627736,Not significant
2247,YTHDF2,2.846859897172351e-08,3.8315035685087713,4.392013750685045,Not significant
770,EIF5A,2.9231864009156465e-08,3.8201817837183647,1.8923373508720562,Not significant
1029,S100A10,2.975169841713342e-08,3.812611026585329,3.817561567485143,Not significant
457,SPIRE1,3.028049693707469e-08,3.8050443146761928,4.098847307059363,Not significant
2884,MCOLN3,3.05483043521686e-08,3.801304446139736,3.9156095772954607,Not significant
1211,SNHG5,3.164269798086509e-08,3.7861032419401597,-2.209024662081399,Not significant
3363,S100A16,3.248835758912238e-08,3.774733920019859,3.8139322104409783,Not significant
3908,AGAP3,3.2775085344070174e-08,3.7710021571207046,3.9577651366280486,Not significant
3061,PLAT,3.394674086822662e-08,3.7558332302115085,3.8163468860879286,Not significant
2977,SGK1,3.485204206231816e-08,3.7444881281649955,3.8274982671131768,Not significant
1108,RHOC,3.485204206231816e-08,3.7444881281649955,4.052064371507316,Not significant
686,PLXNB2,3.578074135184629e-08,3.7332361581966267,3.2659491722425225,Not significant
1790,SLC35B2,3.578074135184629e-08,3.7332361581966267,3.943980719646529,Not significant
833,NENF,3.609560795462144e-08,3.729599639777784,3.818652882406491,Not significant
1381,STK17A,3.641316114397756e-08,3.725880076127223,-3.660789165673431,Not significant
5228,CD48,3.641316114397756e-08,3.725880076127223,-3.935600481353506,Not significant
4781,SYTL1,3.641316114397756e-08,3.725880076127223,-3.662148689390464,Not significant
277,CD276,3.6733423081338636e-08,3.7223298187837695,3.9454579236786063,Not significant
1905,CCT2,3.7382162727601906e-08,3.7148116926238095,3.949112615960777,Not significant
346,RPL34,3.8376152040303794e-08,3.703499990771583,-0.5923890541515675,Not significant
157,ACTN4,3.871314181153587e-08,3.699787575634372,2.963583166326668,Not significant
3632,ARHGAP4,3.939575161592027e-08,3.6922815849909583,-3.47458503872126,Not significant
2198,ETV4,4.1153734220805e-08,3.67340793488917,3.899104757604101,Not significant
2048,S100A11,4.22447859543575e-08,3.6621295411869244,4.065574802448861,Not significant
5036,LUM,4.374323299774224e-08,3.6470777230175093,-3.9738274968797,Not significant
2080,EPS8,4.649040307668024e-08,3.6207126523329323,3.983940013015765,Not significant
600,ELL2,5.0269122393433315e-08,3.5868631939980684,3.9567265793862063,Not significant
2265,LIMD2,5.873992398065111e-08,3.519324921762857,-2.2826142649805705,Not significant
1204,CBX3,6.185932094896084e-08,3.49694097224944,2.8420483192239168,Not significant
4918,FCRL1,6.458089020744285e-08,3.4783294813005963,-4.048228714837644,Not significant
4113,NGFRAP1,6.458089020744285e-08,3.4783294813005963,3.9356239879487673,Not significant
2717,LPIN2,6.513895586691415e-08,3.4747620681898,3.7139314773109597,Not significant
4816,THY1,6.513895586691415e-08,3.4747620681898,-3.608995071991223,Not significant
444,FTL,6.570169217309072e-08,3.4711957290810154,0.4011024451479255,Not significant
1052,SLC7A8,6.684132798110188e-08,3.463812910253385,3.9816496560508625,Not significant
2612,MITF,6.800010308847847e-08,3.456434142242542,3.9278107767362807,Not significant
1133,LCP1,7.037631691368344e-08,3.4416042888322385,-3.1068754370971066,Not significant
519,GYPC,7.733310033492458e-08,3.4007576445327916,2.077140889216456,Not significant
634,RRBP1,7.79975785307386e-08,3.3971271732317643,3.9090730563264446,Not significant
1709,EPHA2,7.79975785307386e-08,3.3971271732317643,4.085635663376685,Not significant
749,GSTM3,8.423203050958823e-08,3.363907002072024,3.9272575464530814,Not significant
994,CHCHD6,8.641542436442773e-08,3.352879974082309,3.771713533173776,Not significant
2681,ARHGDIB,8.9412016498091e-08,3.33816324381188,-2.424924235831827,Not significant
167,TSPAN4,8.9412016498091e-08,3.33816324381188,2.975271802470422,Not significant
267,CDCA4,9.017674149229742e-08,3.334634592660389,3.9687692290346877,Not significant
941,SGK3,9.250910242087608e-08,3.323631861756254,3.8358991438465084,Not significant
1680,TTC8,9.735029039223933e-08,3.3015690874106274,3.665573570415125,Not significant
1974,ANGPT2,1.0243631326968946e-07,3.279542695656122,3.7821741749627127,Not significant
1042,CTSF,1.0596888062129332e-07,3.264906868319826,4.0548216129326775,Not significant
2761,NDN,1.0961922156808395e-07,3.250287227298917,3.834563391466741,Not significant
2030,TPP1,1.105506497080265e-07,3.2466983542520884,3.7301301396322697,Not significant
5358,CCDC88B,1.124365375290781e-07,3.239438982029574,-3.654610921623266,Not significant
771,RPS20,1.163021549806457e-07,3.2248476939580644,-0.5679064142310057,Not significant
4614,COL3A1,1.163021549806457e-07,3.2248476939580644,-3.1912494781024923,Not significant
2511,RND3,1.3197633247890028e-07,3.170126303751882,3.7454927289226294,Not significant
3000,SIVA1,1.353476299225771e-07,3.159260207474889,3.780926578873304,Not significant
2391,SLC7A5,1.3880216374836828e-07,3.1484032369958057,3.6252008058340155,Not significant
5422,RHOH,1.435411151706485e-07,3.133913211029565,-3.8141302482828703,Not significant
205,HLA-DQA1,1.459689029023836e-07,3.1267166824064025,-2.8110347332847097,Not significant
2152,SERPINH1,1.4719764266919805e-07,3.1231623532349033,4.087983189339379,Not significant
1591,VAT1,1.573942546782611e-07,3.0941704953767215,3.576242824463254,Not significant
2849,LGR4,1.600482250531015e-07,3.086996303858309,3.5166892996814325,Not significant
3521,EMP1,1.6968219004283085e-07,3.061706467865699,4.122565341530992,Not significant
5378,FAIM3,1.7110343944479595e-07,3.0581704449383613,-3.8224310218086757,Not significant
