,gene,pval,padj,lfc
1859,Gm42418,1.8609189804903197e-39,1.8410071473990733e-35,-2.377950826319351
9525,Gm26917,3.190240349750486e-37,1.578052389004078e-33,-2.7498735205559415
1982,mt-Rnr1,7.2549561538346665e-37,1.794332030747159e-33,-0.8467215448479681
1194,mt-Rnr2,7.2549561538346665e-37,1.794332030747159e-33,-0.8025930325075823
6134,Lrrc17,3.9897194113112596e-36,7.894058827220458e-33,-2.0478247935725147
5865,A230103L15Rik,1.7739284199523528e-35,2.5070676940840895e-32,-0.775547129713626
3332,Pus7,1.6092778184641878e-35,2.5070676940840895e-32,-0.5960495941485977
5306,Nfxl1,7.411369079017864e-35,9.165084287340466e-32,-0.6979379296401946
6784,Cst3,4.269080432379144e-34,4.692668079725208e-31,0.915126123289582
3254,Rad51d,4.809504686761374e-34,4.758042986613027e-31,-0.8122675231494885
6054,Plagl1,7.038451150566001e-34,6.3301270211408585e-31,-0.9096605578741617
7433,Rn18s-rs5,1.0537354519792496e-33,8.687170688692263e-31,-2.418368879482226
9343,Cited1,1.3041340138460006e-33,9.924459845368065e-31,-0.579934853952544
193,Peg10,1.99575153716654e-33,1.4102835683706128e-30,-0.6082900542589913
8431,Malat1,6.027027845222632e-33,3.5073756748698526e-30,-1.9179854001990382
8712,Apba3,5.887461432576639e-33,3.5073756748698526e-30,-0.7220390651733704
3526,Krcc1,5.617886088171233e-33,3.5073756748698526e-30,-0.7441016836029988
2529,Qrsl1,5.119487695003033e-32,2.813727320370278e-29,-0.5032234525383998
8469,Trmt10b,5.745479066119875e-32,2.991580231638101e-29,-0.6267350170093025
1755,Zfp346,7.069731023227982e-32,3.497042450639721e-29,-0.7026513724692762
7932,Slc25a42,9.75571648803416e-32,4.595871581720093e-29,-0.5372440135332663
347,Yjefn3,1.1456903986159827e-31,5.151961415230871e-29,-0.7777669212093121
5816,Ctsd,4.6132614023075655e-31,1.9843041327403804e-28,1.8253847185245347
7427,Gm5844,1.4958836306259321e-30,6.166156982409311e-28,-0.6378784041440619
